canonical_title,midi_filename,audio_filename,duration
00_BN1-129-Eb_solo,guitar-v0.0.0/midi/00_BN1-129-Eb_solo.midi,guitar-v0.0.0/mp3/00_BN1-129-Eb_solo.mp3,22.360816326530614,000
00_BN1-147-Gb_solo,guitar-v0.0.0/midi/00_BN1-147-Gb_solo.midi,guitar-v0.0.0/mp3/00_BN1-147-Gb_solo.mp3,19.61795918367347,001
00_BN2-131-B_solo,guitar-v0.0.0/midi/00_BN2-131-B_solo.midi,guitar-v0.0.0/mp3/00_BN2-131-B_solo.mp3,29.335510204081633,002
00_BN2-166-Ab_solo,guitar-v0.0.0/midi/00_BN2-166-Ab_solo.midi,guitar-v0.0.0/mp3/00_BN2-166-Ab_solo.mp3,23.17061224489796,003
00_BN3-119-G_solo,guitar-v0.0.0/midi/00_BN3-119-G_solo.midi,guitar-v0.0.0/mp3/00_BN3-119-G_solo.mp3,32.3134693877551,004
00_BN3-154-E_solo,guitar-v0.0.0/midi/00_BN3-154-E_solo.midi,guitar-v0.0.0/mp3/00_BN3-154-E_solo.mp3,24.973061224489797,005
00_Funk1-114-Ab_solo,guitar-v0.0.0/midi/00_Funk1-114-Ab_solo.midi,guitar-v0.0.0/mp3/00_Funk1-114-Ab_solo.mp3,25.2865306122449,006
00_Funk1-97-C_solo,guitar-v0.0.0/midi/00_Funk1-97-C_solo.midi,guitar-v0.0.0/mp3/00_Funk1-97-C_solo.mp3,29.72734693877551,007
00_Funk2-108-Eb_solo,guitar-v0.0.0/midi/00_Funk2-108-Eb_solo.midi,guitar-v0.0.0/mp3/00_Funk2-108-Eb_solo.mp3,35.57877551020408,008
00_Funk2-119-G_solo,guitar-v0.0.0/midi/00_Funk2-119-G_solo.midi,guitar-v0.0.0/mp3/00_Funk2-119-G_solo.mp3,32.3134693877551,009
00_Funk3-112-C#_solo,guitar-v0.0.0/midi/00_Funk3-112-C#_solo.midi,guitar-v0.0.0/mp3/00_Funk3-112-C#_solo.mp3,34.32489795918367,010
00_Funk3-98-A_solo,guitar-v0.0.0/midi/00_Funk3-98-A_solo.midi,guitar-v0.0.0/mp3/00_Funk3-98-A_solo.mp3,39.20979591836735,011
00_Jazz1-130-D_solo,guitar-v0.0.0/midi/00_Jazz1-130-D_solo.midi,guitar-v0.0.0/mp3/00_Jazz1-130-D_solo.mp3,22.17795918367347,012
00_Jazz1-200-B_solo,guitar-v0.0.0/midi/00_Jazz1-200-B_solo.midi,guitar-v0.0.0/mp3/00_Jazz1-200-B_solo.mp3,14.445714285714285,013
00_Jazz2-110-Bb_solo,guitar-v0.0.0/midi/00_Jazz2-110-Bb_solo.midi,guitar-v0.0.0/mp3/00_Jazz2-110-Bb_solo.mp3,34.95183673469388,014
00_Jazz2-187-F#_solo,guitar-v0.0.0/midi/00_Jazz2-187-F#_solo.midi,guitar-v0.0.0/mp3/00_Jazz2-187-F#_solo.mp3,20.558367346938777,015
00_Jazz3-137-Eb_solo,guitar-v0.0.0/midi/00_Jazz3-137-Eb_solo.midi,guitar-v0.0.0/mp3/00_Jazz3-137-Eb_solo.mp3,28.05551020408163,016
00_Jazz3-150-C_solo,guitar-v0.0.0/midi/00_Jazz3-150-C_solo.midi,guitar-v0.0.0/mp3/00_Jazz3-150-C_solo.mp3,25.626122448979594,017
00_Rock1-130-A_solo,guitar-v0.0.0/midi/00_Rock1-130-A_solo.midi,guitar-v0.0.0/mp3/00_Rock1-130-A_solo.mp3,22.17795918367347,018
00_Rock1-90-C#_solo,guitar-v0.0.0/midi/00_Rock1-90-C#_solo.midi,guitar-v0.0.0/mp3/00_Rock1-90-C#_solo.mp3,32.02612244897959,019
00_Rock2-142-D_solo,guitar-v0.0.0/midi/00_Rock2-142-D_solo.midi,guitar-v0.0.0/mp3/00_Rock2-142-D_solo.mp3,27.088979591836736,020
00_Rock2-85-F_solo,guitar-v0.0.0/midi/00_Rock2-85-F_solo.midi,guitar-v0.0.0/mp3/00_Rock2-85-F_solo.mp3,45.21795918367347,021
00_Rock3-117-Bb_solo,guitar-v0.0.0/midi/00_Rock3-117-Bb_solo.midi,guitar-v0.0.0/mp3/00_Rock3-117-Bb_solo.mp3,32.862040816326534,022
00_Rock3-148-C_solo,guitar-v0.0.0/midi/00_Rock3-148-C_solo.midi,guitar-v0.0.0/mp3/00_Rock3-148-C_solo.mp3,25.991836734693877,023
00_SS1-100-C#_solo,guitar-v0.0.0/midi/00_SS1-100-C#_solo.midi,guitar-v0.0.0/mp3/00_SS1-100-C#_solo.mp3,28.83918367346939,024
00_SS1-68-E_solo,guitar-v0.0.0/midi/00_SS1-68-E_solo.midi,guitar-v0.0.0/mp3/00_SS1-68-E_solo.mp3,42.39673469387755,025
00_SS2-107-Ab_solo,guitar-v0.0.0/midi/00_SS2-107-Ab_solo.midi,guitar-v0.0.0/mp3/00_SS2-107-Ab_solo.mp3,35.91836734693877,026
00_SS2-88-F_solo,guitar-v0.0.0/midi/00_SS2-88-F_solo.midi,guitar-v0.0.0/mp3/00_SS2-88-F_solo.mp3,43.67673469387755,027
